model,rating,games,wins,draws
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9000000.pth,1508.12,100,0,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9700000.pth,1501.49,100,2,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_8400000.pth,1501.41,100,2,3
atulPolicy,1500.00,0,0,0
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14500000.pth,1498.48,100,3,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9200000.pth,1496.39,100,6,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_200000.pth,1496.37,100,3,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9900000.pth,1492.66,100,4,7
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_17200000.pth,1486.79,100,5,2
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9600000.pth,1485.63,100,5,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_14200000.pth,1483.17,100,4,1
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13600000.pth,1480.39,100,6,4
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_11500000.pth,1475.93,100,9,3
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_13700000.pth,1473.07,100,8,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16500000.pth,1472.38,100,2,6
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_9800000.pth,1472.07,100,6,5
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_16300000.pth,1432.44,100,1,9
league_ppo_real (score reward) (latent_dims 128 128 128)_checkpoint_100000.pth,1432.43,100,1,1
